IDIndikator;skrIndikator;IDTer;nTer;IDVrPod;nVrPod;nPol;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
18030802IND01;Пројекције становништва по општинама;80241;Мали Иђош;1;Базна популација - процене становништва средином 2011.  године;Укупно;12027;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80438;Суботица;1;Базна популација - процене становништва средином 2011.  године;Укупно;141551;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80144;Житиште;1;Базна популација - процене становништва средином 2011.  године;Укупно;16921;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80152;Зрењанин;1;Базна популација - процене становништва средином 2011.  године;Укупно;123374;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80250;Нова Црња;1;Базна популација - процене становништва средином 2011.  године;Укупно;10300;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80268;Нови Бечеј;1;Базна популација - процене становништва средином 2011.  године;Укупно;23940;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80373;Сечањ;1;Базна популација - процене становништва средином 2011.  године;Укупно;13325;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80179;Инђија;1;Базна популација - процене становништва средином 2011.  године;Укупно;47428;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80187;Ириг;1;Базна популација - процене становништва средином 2011.  године;Укупно;10874;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80322;Пећинци;1;Базна популација - процене становништва средином 2011.  године;Укупно;19752;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80357;Рума;1;Базна популација - процене становништва средином 2011.  године;Укупно;54398;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80403;Сремска Митровица;1;Базна популација - процене становништва средином 2011.  године;Укупно;80014;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80420;Стара Пазова;1;Базна популација - процене становништва средином 2011.  године;Укупно;65803;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;80497;Шид;1;Базна популација - процене становништва средином 2011.  године;Укупно;34261;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70041;Ариље;1;Базна популација - процене становништва средином 2011.  године;Укупно;18826;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70068;Бајина Башта;1;Базна популација - процене становништва средином 2011.  године;Укупно;26074;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70629;Косјерић;1;Базна популација - процене становништва средином 2011.  године;Укупно;12099;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70866;Нова Варош;1;Базна популација - процене становништва средином 2011.  године;Укупно;16659;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70955;Пожега;1;Базна популација - процене становништва средином 2011.  године;Укупно;29718;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70971;Прибој;1;Базна популација - процене становништва средином 2011.  године;Укупно;27166;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70980;Пријепоље;1;Базна популација - процене становништва средином 2011.  године;Укупно;37041;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71072;Сјеница;1;Базна популација - процене становништва средином 2011.  године;Укупно;26366;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;79065;Ужице;1;Базна популација - процене становништва средином 2011.  године;Укупно;78141;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71234;Чајетина;1;Базна популација - процене становништва средином 2011.  године;Укупно;14735;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70360;Ваљево;1;Базна популација - процене становништва средином 2011.  године;Укупно;90400;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70700;Лајковац;1;Базна популација - процене становништва средином 2011.  године;Укупно;15507;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70769;Љиг;1;Базна популација - процене становништва средином 2011.  године;Укупно;12787;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70831;Мионица;1;Базна популација - процене становништва средином 2011.  године;Укупно;14339;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70882;Осечина;1;Базна популација - процене становништва средином 2011.  године;Укупно;12590;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71218;Уб;1;Базна популација - процене становништва средином 2011.  године;Укупно;29137;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70289;Богатић;1;Базна популација - процене становништва средином 2011.  године;Укупно;28927;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70408;Владимирци;1;Базна популација - процене становништва средином 2011.  године;Укупно;17502;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70637;Коцељева;1;Базна популација - процене становништва средином 2011.  године;Укупно;13145;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70661;Крупањ;1;Базна популација - процене становништва средином 2011.  године;Укупно;17344;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70734;Лозница;1;Базна популација - процене становништва средином 2011.  године;Укупно;79456;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70777;Љубовија;1;Базна популација - процене становништва средином 2011.  године;Укупно;14507;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70793;Мали Зворник;1;Базна популација - процене становништва средином 2011.  године;Укупно;12492;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71269;Шабац;1;Базна популација - процене становништва средином 2011.  године;Укупно;115972;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70483;Горњи Милановац;1;Базна популација - процене становништва средином 2011.  године;Укупно;44473;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70564;Ивањица;1;Базна популација - процене становништва средином 2011.  године;Укупно;31980;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70742;Лучани;1;Базна популација - процене становништва средином 2011.  године;Укупно;20948;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71242;Чачак;1;Базна популација - процене становништва средином 2011.  године;Укупно;115351;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70491;Деспотовац;1;Базна популација - процене становништва средином 2011.  године;Укупно;23245;A;Коначан податак;F;Слободан за објављивање;;
