naziv, pib, grad, adresa, tip, broj_automata_ili_uplatnih_mesta 
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Кеј 37. Санџачке дивизије 136 Г, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Кеј Скопских жртава 4, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Крагујевачка 28, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Мехмеда Алибашића 25А, аутомати, 14
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Московска 14, аутомати, 11
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Мур 165 А, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Радничка 35в, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Рифата Бурџевића 1, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Руђера Бошковића 134К, аутомати, 8
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Слава Рашковића 12 А, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Хаџет 38 А, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Пазар, Шабана Коче 49 А, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Нови Сад, Футог, Царице Милице 85, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Параћин, КП. 1971/2 КО. Трешњевица, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Пирот, Николе Пашића 94а, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Пирот, Николе Пашића 157, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Пирот, Николе Пашића 7, аутомати, 10
ALFA GAME D.O.O. BEOGRAD, 100118540, Пирот, Осми март 17, аутомати, 6
ALFA GAME D.O.O. BEOGRAD, 100118540, Пирот, Трг Пиротских ослободиоца лок. 9, аутомати, 10
ALFA GAME D.O.O. BEOGRAD, 100118540, Рашка, Душанова 16, аутомати, 11
ALFA GAME D.O.O. BEOGRAD, 100118540, Сомбор, Бачки Брег, Штросмајерова 46, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Сомбор, Трг бораца, кат. парцела 488/3 КО Колут, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Сомбор, Чонопља, Николе Тесле 88, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Србобран, Јована Јовановића Змаја 4, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Темерин, Новосадска 138, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Тител, Гардиновци, Маршала Тита 43, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Тител, Михајила Крестића 13, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Тутин, 7. јула, кат. парцела 905/1, аутомати, 11
ALFA GAME D.O.O. BEOGRAD, 100118540, Тутин, Омладинска, кат. парцела 1025, аутомати, 11
ALFA GAME D.O.O. BEOGRAD, 100118540, Ћићевац, Појате, Зона ауто пута бб, аутомати, 7
ALFA GAME D.O.O. BEOGRAD, 100118540, Ћуприја, Сење, Кнеза Лазара 103, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Шид, Адашевци, Фрушкогорска 21, аутомати, 5
ALFA GAME D.O.O. BEOGRAD, 100118540, Шид, Ердевик, Краља Петра И  5, аутомати, 9
ALFA GAME D.O.O. BEOGRAD, 100118540, Шид, Кукујевци, Српских владара 5, аутомати, 6
ALPHAPEX D.O.O. BEOGRAD, 105027608, Аранђеловац, Кнеза Михајла 63, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Аранђеловац, Књаза Милоша 287, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Аранђеловац, Књаза Милоша 287, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Аранђеловац, Књаза Милоша 62, аутомати, 9
ALPHAPEX D.O.O. BEOGRAD, 105027608, Аранђеловац, Краља Петра Првог 185, аутомати, 15
ALPHAPEX D.O.O. BEOGRAD, 105027608, Бујановац, Карађорђа Петровића 44, лок.8, аутомати, 16
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Борислава Атанацковића 1, аутомати, 7
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Борислава Атанацковића 1, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Војводе Степе 490А, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Војводе Степе 490А, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Генерала Штефаника 16, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Генерала Штефаника 16, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Крушевачка 33, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Кумодрашка 122а, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Вождовац, Кумодрашка 122А, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Жабаљ, Госпођинци, Краља Петра Првог 37, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Жабаљ, Госпођинци, ул. Краља Петра Првог 37, аутомати, 8
ALPHAPEX D.O.O. BEOGRAD, 105027608, Жабаљ, Николе Тесле 33, аутомати, 10
ALPHAPEX D.O.O. BEOGRAD, 105027608, Жабаљ, Николе Тесле 33, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Звездара, Браће Срнић 23а, аутомати, 8
ALPHAPEX D.O.O. BEOGRAD, 105027608, Звездара, Браће Срнића 23а, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Звездара, Краљице Марије 61, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Звездара, Краљице Марије 61, кат. парцела 2801/1, аутомати, 10
ALPHAPEX D.O.O. BEOGRAD, 105027608, Звездара, Раблеова бб, катастарска парцела  2025/8 КО Миријево, аутомати, 20
ALPHAPEX D.O.O. BEOGRAD, 105027608, Звездара, Раблеова бб, катастарска парцела 2025/8 КО Миријево, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Земун, Павла Вујисића 69Б, аутомати, 9
ALPHAPEX D.O.O. BEOGRAD, 105027608, Земун, Павла Вујисића 69Б, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Лазаревац, Карађорђева 24, аутомати, 14
ALPHAPEX D.O.O. BEOGRAD, 105027608, Лазаревац, Николе Вујачића 14, аутомати, 9
ALPHAPEX D.O.O. BEOGRAD, 105027608, Лазаревац, Николе Вујачића 14, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Лазаревац, Стефана Немање 1А, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Лазаревац, Трећи октобар 58, аутомати, 10
ALPHAPEX D.O.O. BEOGRAD, 105027608, Младеновац, Краља Петра Првог 209, аутомати, 14
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Београд, Милеве Марић Ајнштајн 52, к.п. 6816 КО Нови Београд, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, 28. новембра 20, аутомати, 6
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, 28. новембра 20, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, Вељка Влаховића 76 б, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, Вељка Влаховића 76 б, аутомати, 7
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, Стевана Немање 41 а, аутомати, 6
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, Стевана Немање 41 а, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, Хаџет 53, аутомати, 5
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Пазар, Хаџет 53, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Сад, Алексе Шантића 59, аутомати, 13
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Сад, Алексе Шантића 59, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Сад, Бранка Бајића ББ, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Сад, Бранка Бајића ББ, аутомати, 14
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Сад, Темерински пут 1, аутомати, 6
ALPHAPEX D.O.O. BEOGRAD, 105027608, Нови Сад, Темерински пут 1, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Палилула, Вишњичка 91, аутомати, 6
ALPHAPEX D.O.O. BEOGRAD, 105027608, Палилула, Вишњичка 91, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Палилула, Салвадора Аљендеа 40а, кладионица, 1
ALPHAPEX D.O.O. BEOGRAD, 105027608, Палилула, Салвадора Аљендеа 40а, аутомати, 7
ALPHAPEX D.O.O. BEOGRAD, 105027608, Палилула, Цвијићева 93а, кладионица, 1
